,SYMBOL
1179,E1:C50.SI
1180,E1:E91.SI
1181,E1:K14.SI
1183,E1:S13.SI
1185,E2:W01.SI
1186,E2:U18.SI
1187,E2:C61U.SI
1195,E2:TS0U.SI
1197,E2:C33.SI
1213,E2:530.SI
1214,E1:T16.SI
1223,E1:Z02.SI
1224,E1:J18.SI
1225,E1:C03.SI
1226,E1:B0Z.SI
1227,E1:D38.SI
1228,E1:RS1.SI
1229,E2:528.SI
1230,E2:C38U.SI
1231,E2:CH8.SI
1232,E2:P01.SI
1233,E2:T16.SI
1234,C14.SI
1235,E1:C04.SI
1236,E1:C13.SI
1237,E1:I12.SI
1238,E1:544.SI
1239,E2:C70.SI
1240,E2:DT2.SI
1241,E2:M62.SI
1242,F2X.SI
1243,C8R.SI
1244,U0BR.SI
1266,E2:P15.SI
1267,CX5.SI
1269,535.SI
1272,E1:ACW.SI
1273,E2:D6U.SI
1274,E2:C14.SI
1276,TU9.SI
1279,574.SI
1280,5AC.SI
1281,595.SI
1282,E2:G54.SI
1284,E2:AV5.SI
1285,E1:C11.SI
1294,E2:Z02.SI
1303,U1W.SI
1318,D05.SI
1322,O9D.SI
1325,KF6.SI
1327,DM0.SI
1328,D04.SI
1330,D11.SI
1332,NO4.SI
1333,LF2.SI
1334,KF7.SI
1335,J0S.SI
1338,D8DU.SI
1339,D03.SI
1340,5SO.SI
1341,547.SI
1342,E2:547.SI
1343,E2:KJ7.SI
1344,E2:NO4.SI
1345,HD7.SI
1346,IH0.SI
1347,LG8.SI
1348,D5IU.SI
1351,E1:B2W.SI
1352,E2:G77.SI
1353,E2:KF6.SI
1354,E2:MT1.SI
1358,5CB.SI
1359,E1:KJ7.SI
1360,E2:5SO.SI
1361,E2:B1N.SI
1365,IH2.SI
1366,O9B.SI
1367,D3W.SI
1368,E1:D04.SI
1369,E1:LG6.SI
1370,E2:5UZ.SI
1371,E2:CZ4.SI
1372,D4N.SI
1374,E2:K2M.SI
1375,J0N.SI
1377,TM3.SI
1379,E1:P12.SI
1380,E2:P12.SI
1381,LG9.SI
1382,D08.SI
1383,E1:D11.SI
1384,E2:IH1.SI
1385,K2M.SI
1386,E1:D05.SI
1389,E2:5CH.SI
1390,KF8.SI
1391,N2F.SI
1394,IH4.SI
1395,KJ7.SI
1396,E1:D08.SI
1397,E2:HD9.SI
1399,J0P.SI
1400,E2:D03.SI
1401,E1:LG7.SI
1403,E1:I21.SI
1404,E2:D08.SI
1405,E2:QC7.SI
1406,KV7.SI
1407,E1:KF8.SI
1409,E2:D05.SI
1410,E1:NO4.SI
1411,E1:HE0.SI
1412,E1:5SO.SI
1413,E2:5CB.SI
1414,E2:KF5.SI
1415,J0R.SI
1416,LG7.SI
1417,E1:K2M.SI
1424,N14.SI
1425,T16.SI
1426,E2:K6K.SI
1427,E1:IH1.SI
1432,J0M.SI
